192.168.200.29,54.83.173.71,56178,8884,TCP,24,1706513940344345,
192.168.200.29,194.209.200.2,37959,41194,UDP,64,1706513940422643,
54.83.173.71,192.168.200.29,8884,56178,TCP,24,1706513940444694,
192.168.200.29,54.83.173.71,56178,8884,TCP,66,1706513940444761,
192.168.200.29,194.209.200.2,37959,41194,UDP,64,1706513940870445,
194.209.200.2,192.168.200.29,41194,37959,UDP,120,1706513941023261,
192.168.200.29,194.209.200.2,37959,41194,UDP,76,1706513941023527,
192.168.200.29,34.120.208.123,34644,443,TCP,155,1706513941732747,
192.168.200.29,34.120.208.123,34644,443,TCP,866,1706513941732904,
34.120.208.123,192.168.200.29,443,34644,TCP,66,1706513941736701,
192.168.200.29,34.107.243.93,45414,443,TCP,28,1706513941736991,
34.120.208.123,192.168.200.29,443,34644,TCP,66,1706513941738333,
34.107.243.93,192.168.200.29,443,45414,TCP,66,1706513941740098,
192.168.200.29,172.217.168.4,40378,443,UDP,1357,1706513941749338,
192.168.200.29,34.120.208.123,34644,443,TCP,46,1706513941760137,
192.168.200.29,34.120.208.123,34644,443,TCP,31,1706513941761106,
192.168.200.29,34.120.208.123,34644,443,TCP,66,1706513941761128,
192.168.200.29,34.107.243.93,45414,443,TCP,24,1706513941761415,
192.168.200.29,34.107.243.93,45414,443,TCP,66,1706513941761431,
34.120.208.123,192.168.200.29,443,34644,TCP,66,1706513941764543,
34.120.208.123,192.168.200.29,443,34644,TCP,66,1706513941766058,
34.107.243.93,192.168.200.29,443,45414,TCP,66,1706513941766058,
34.120.208.123,192.168.200.29,443,34644,TCP,66,1706513941766059,
192.168.200.29,34.120.208.123,34644,443,TCP,66,1706513941766091,
34.120.208.123,192.168.200.29,443,34644,TCP,66,1706513941766059,
34.107.243.93,192.168.200.29,443,45414,TCP,66,1706513941766184,
192.168.200.29,34.107.243.93,45414,443,TCP,66,1706513941766196,
172.217.168.4,192.168.200.29,443,40378,UDP,1357,1706513941768068,
192.168.200.29,172.217.168.4,443,40378,UDP,520,1706513941768134,
172.217.168.4,192.168.200.29,443,40378,UDP,615,1706513941768170,
192.168.200.29,172.217.168.4,443,40378,UDP,520,1706513941768186,
172.217.168.4,192.168.200.29,443,40378,UDP,27,1706513941780628,
192.168.200.29,172.217.168.4,443,40378,UDP,27,1706513941780671,
192.168.200.29,192.168.200.1,55955,53,UDP,48,1706513941965237,
192.168.200.29,192.168.200.1,52075,53,UDP,48,1706513941965345,
192.168.200.1,192.168.200.29,53,55955,UDP,123,1706513941968380,
192.168.200.1,192.168.200.29,53,52075,UDP,192,1706513941968386,
192.168.200.29,192.168.200.1,59609,53,UDP,63,1706513941968656,
