192.168.200.1,255.255.255.255,37048,10001,UDP,4,1706514061567873,
192.168.200.29,34.107.221.82,53050,80,TCP,66,1706514062274485,
192.168.200.29,34.107.221.82,53038,80,TCP,66,1706514062274516,
34.107.221.82,192.168.200.29,80,53050,TCP,66,1706514062278159,
34.107.221.82,192.168.200.29,80,53038,TCP,66,1706514062278194,
192.168.200.29,195.176.255.73,47766,80,TCP,66,1706514062534336,
195.176.255.73,192.168.200.29,80,47766,TCP,66,1706514062537257,
192.168.200.29,192.229.221.95,38272,80,TCP,66,1706514062786362,
192.229.221.95,192.168.200.29,80,38272,TCP,66,1706514062796590,
192.168.200.29,172.217.168.4,55010,443,UDP,492,1706514063003844,
192.168.200.29,172.217.168.4,55010,443,UDP,474,1706514063005084,
172.217.168.4,192.168.200.29,443,55010,UDP,29,1706514063008175,
172.217.168.4,192.168.200.29,443,55010,UDP,29,1706514063009455,
192.168.200.29,172.217.168.4,55010,443,UDP,31,1706514063009527,
172.217.168.4,192.168.200.29,443,55010,UDP,1246,1706514063040177,
172.217.168.4,192.168.200.29,443,55010,UDP,1250,1706514063040177,
172.217.168.4,192.168.200.29,443,55010,UDP,1121,1706514063040177,
172.217.168.4,192.168.200.29,443,55010,UDP,1246,1706514063040177,
192.168.200.29,172.217.168.4,55010,443,UDP,35,1706514063040517,
192.168.200.29,172.217.168.4,55010,443,UDP,31,1706514063040578,
172.217.168.4,192.168.200.29,443,55010,UDP,1250,1706514063040581,
172.217.168.4,192.168.200.29,443,55010,UDP,107,1706514063040581,
192.168.200.29,172.217.168.4,55010,443,UDP,35,1706514063040644,
192.168.200.29,172.217.168.4,55010,443,UDP,31,1706514063040668,
172.217.168.4,192.168.200.29,443,55010,UDP,25,1706514063041910,
172.217.168.4,192.168.200.29,443,55010,UDP,101,1706514063041910,
172.217.168.4,192.168.200.29,443,55010,UDP,25,1706514063042055,
172.217.168.4,192.168.200.29,443,55010,UDP,252,1706514063042215,
192.168.200.29,172.217.168.4,55010,443,UDP,31,1706514063043122,
192.168.200.29,172.217.168.4,55010,443,UDP,31,1706514063043181,
172.217.168.4,192.168.200.29,443,55010,UDP,23,1706514063045251,
192.168.200.29,194.209.200.2,37959,41194,UDP,40,1706514063785420,
192.168.200.29,172.217.168.4,55010,443,UDP,191,1706514064101119,
172.217.168.4,192.168.200.29,443,55010,UDP,27,1706514064105201,
192.168.200.29,172.217.168.4,55010,443,UDP,32,1706514064130665,
172.217.168.4,192.168.200.29,443,55010,UDP,1087,1706514064166183,
192.168.200.29,172.217.168.4,55010,443,UDP,35,1706514064166659,
172.217.168.4,192.168.200.29,443,55010,UDP,25,1706514064168264,
172.217.168.4,192.168.200.29,443,55010,UDP,125,1706514064168394,
192.168.200.29,172.217.168.4,55010,443,UDP,31,1706514064168583,
192.168.200.29,192.168.200.1,43854,53,UDP,44,1706514064171461,
192.168.200.1,192.168.200.29,53,43854,UDP,104,1706514064174873,
192.168.200.29,172.217.168.78,56076,443,UDP,1250,1706514064175838,
172.217.168.78,192.168.200.29,443,56076,UDP,1250,1706514064179871,
192.168.200.29,172.217.168.78,56076,443,UDP,1250,1706514064181366,
192.168.200.29,172.217.168.78,56076,443,UDP,37,1706514064189527,
192.168.200.29,172.217.168.78,44886,443,TCP,74,1706514064189678,
172.217.168.78,192.168.200.29,443,56076,UDP,1250,1706514064192521,
172.217.168.78,192.168.200.29,443,56076,UDP,1250,1706514064192522,
172.217.168.78,192.168.200.29,443,56076,UDP,1246,1706514064192522,
172.217.168.78,192.168.200.29,443,56076,UDP,42,1706514064192522,
