192.168.200.1,255.255.255.255,37048,10001,UDP,4,1706513872558908,
192.168.200.29,194.209.200.2,37959,41194,UDP,120,1706513874177402,
194.209.200.2,192.168.200.29,41194,37959,UDP,76,1706513874185987,
192.168.200.29,194.209.200.2,37959,41194,UDP,120,1706513874208374,
194.209.200.2,192.168.200.29,41194,37959,UDP,120,1706513874210813,
192.168.200.29,194.209.200.2,37959,41194,UDP,76,1706513874210914,
194.209.200.2,192.168.200.29,41194,37959,UDP,76,1706513874259287,
192.168.200.29,54.83.173.71,56178,8884,TCP,66,1706513875650364,
54.83.173.71,192.168.200.29,8884,56178,TCP,66,1706513875744371,
194.209.200.2,192.168.200.29,41194,37959,UDP,120,1706513876018965,
192.168.200.29,194.209.200.2,37959,41194,UDP,76,1706513876019271,
192.168.200.29,192.168.200.1,56316,53,UDP,32,1706513878021457,
192.168.200.29,192.168.200.1,39669,53,UDP,32,1706513878021597,
192.168.200.1,192.168.200.29,53,56316,UDP,48,1706513878024767,
192.168.200.1,192.168.200.29,53,39669,UDP,60,1706513878026143,
192.168.200.29,172.217.168.4,44091,443,UDP,1357,1706513878028335,
172.217.168.4,192.168.200.29,443,44091,UDP,1357,1706513878046864,
172.217.168.4,192.168.200.29,443,44091,UDP,615,1706513878047002,
192.168.200.29,172.217.168.4,44091,443,UDP,113,1706513878048233,
172.217.168.4,192.168.200.29,443,44091,UDP,129,1706513878051034,
192.168.200.29,172.217.168.4,44091,443,UDP,32,1706513878071466,
172.217.168.4,192.168.200.29,443,44091,UDP,1043,1706513878079040,
192.168.200.29,172.217.168.4,44091,443,UDP,31,1706513878079601,
172.217.168.4,192.168.200.29,443,44091,UDP,28,1706513878081542,
172.217.168.4,192.168.200.29,443,44091,UDP,107,1706513878081542,
192.168.200.29,172.217.168.4,44091,443,UDP,31,1706513878081949,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878107944,
192.168.200.29,172.217.168.4,44091,443,UDP,166,1706513878174330,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878202715,
172.217.168.4,192.168.200.29,443,44091,UDP,415,1706513878208581,
192.168.200.29,172.217.168.4,44091,443,UDP,36,1706513878208856,
172.217.168.4,192.168.200.29,443,44091,UDP,28,1706513878210759,
172.217.168.4,192.168.200.29,443,44091,UDP,155,1706513878210759,
192.168.200.29,172.217.168.4,44091,443,UDP,31,1706513878210951,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878237580,
192.168.200.29,172.217.168.4,44091,443,UDP,166,1706513878323108,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878352143,
172.217.168.4,192.168.200.29,443,44091,UDP,418,1706513878359301,
192.168.200.29,172.217.168.4,44091,443,UDP,36,1706513878359618,
172.217.168.4,192.168.200.29,443,44091,UDP,28,1706513878362260,
172.217.168.4,192.168.200.29,443,44091,UDP,250,1706513878362260,
192.168.200.29,172.217.168.4,44091,443,UDP,31,1706513878362510,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878389445,
192.168.200.29,172.217.168.4,44091,443,UDP,167,1706513878431219,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878460362,
172.217.168.4,192.168.200.29,443,44091,UDP,418,1706513878466459,
192.168.200.29,172.217.168.4,44091,443,UDP,36,1706513878466799,
172.217.168.4,192.168.200.29,443,44091,UDP,28,1706513878468526,
172.217.168.4,192.168.200.29,443,44091,UDP,152,1706513878468526,
192.168.200.29,172.217.168.4,44091,443,UDP,31,1706513878468878,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878495776,
192.168.200.29,172.217.168.4,44091,443,UDP,168,1706513878572609,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878602371,
172.217.168.4,192.168.200.29,443,44091,UDP,417,1706513878607889,
192.168.200.29,172.217.168.4,44091,443,UDP,36,1706513878608348,
172.217.168.4,192.168.200.29,443,44091,UDP,28,1706513878610457,
172.217.168.4,192.168.200.29,443,44091,UDP,158,1706513878610457,
192.168.200.29,172.217.168.4,44091,443,UDP,31,1706513878610646,
172.217.168.4,192.168.200.29,443,44091,UDP,27,1706513878637041,
192.168.200.29,194.209.200.2,37959,41194,UDP,120,1706513879177240,
194.209.200.2,192.168.200.29,41194,37959,UDP,76,1706513879186904,
192.168.200.29,194.209.200.2,37959,41194,UDP,120,1706513879208836,
194.209.200.2,192.168.200.29,41194,37959,UDP,120,1706513879212864,
192.168.200.29,194.209.200.2,37959,41194,UDP,76,1706513879213160,
194.209.200.2,192.168.200.29,41194,37959,UDP,76,1706513879261067,
